year ,cpi     ,inflation_rate
1399 ,298.858 ,          47.1
1398 ,203.15  ,          41.2
1397 ,143.842 ,          31.2
1396 ,109.6   ,           9.6
1395 ,100.0   ,           9.0
1394 , 91.714 ,          11.9
1393 , 81.948 ,          15.6
1392 , 70.916 ,          34.7
1391 , 52.635 ,          30.5
1390 , 40.321 ,          21.5
1389 , 33.188 ,          12.4
1388 , 29.527 ,          10.8
1387 , 26.66  ,          25.4
1386 , 21.265 ,          18.4
1385 , 17.955 ,          11.9
1384 , 16.048 ,          10.4
1383 , 14.544 ,          15.2
1382 , 12.624 ,          15.6
1381 , 10.915 ,          15.8
