"industry_level","code","activity","activity_english"
1,"1","توليد صنعتي (ساخت) ؛","Industrial Production (Manufacturing)"
2,"10","توليد فراورده‌هاي غذايي","Food"
2,"11","توليد انواع آشاميدني‌ها","Beverages"
2,"12","توليد فراورده‌هاي توتون و تنباكو","Tobacco"
2,"13","توليد منسوجات","Textiles"
2,"14","توليد پوشاك","Clothing"
2,"15","توليد چرم و فراورده هاي وابسته","Leather and Related Products"
2,"16","توليد چوب وفراورده هاي چوب وچوب پنبه –به‌جزمبلمان - ساخت کالا از حصير وموادحصيربافي","Wood and Cork (Excluding Furniture)"
2,"17","توليد کاغذ و فراورده هاي کاغذي","Paper and Paper Products"
2,"18","چاپ و تکثير رسانه‌هاي ضبط شده","Printing and Recorded Media"
2,"19","توليد کک و فراورده هاي حاصل از پالايش نفت","Coke and Refined Oil Products"
2,"20","توليد موادشيميايي و فراورده هاي شيميايي","Chemicals and Chemical Products"
2,"21","توليد داروها وفراورده هاي دارويي شيميايي وگياهي","Pharmaceuticals, Medicinal, Botanical Products"
2,"22","توليدفراورده هاي لاستيکي وپلاستيکي","Rubber and Plastic"
2,"23","توليدساير فراورده هاي معدني غيرفلزي","Other Non-metallic Mineral Products"
2,"24","توليد فلزات پايه","Basic Metals"
2,"25","توليدمحصولات فلزي ساخته شده، به جزماشين آلات وتجهيزات","Fabricated Metal (Except Machinery and Equipment)"
2,"26","ساخت محصولات رايانه اي، الکترونيکي ونوري","Computer, Electronic, and Optical"
2,"27","توليد تجهيزات برقي","Electrical Equipment"
2,"28","توليد ماشين آلات و تجهيزات طبقه بندي نشده درجاي ديگر","Machinery and Equipment"
2,"29","توليد وسايل نقليه موتوري، تريلر ونيم تريلر","Motor Vehicles, Trailers, and Semi-trailers"
2,"30","توليد ساير تجهيزات حمل و نقل","Other Transport Equipment"
2,"31","توليد مبلمان","Furniture"
2,"32","توليد ساير مصنوعات طبقه بندي نشده در جاي ديگر","Other Products"
2,"33","تعمير ونصب ماشين آلات و تجهيزات","Repair and Installation of Machinery and Equipment"
